date,precipitation,o18,h2
2010-09-30,43.52,-999.0,-999.0
2010-10-31,151.15,-999.0,-999.0
2010-11-30,113.34,-3.669,-15.504
2010-12-31,251.37,-4.691,-25.702
2011-01-31,123.16,-4.765,-27.747
2011-02-28,194.71,-7.208,-53.623
2011-03-31,168.15,-4.225,-28.565
2011-04-30,122.05,-4.879,-34.539
2011-05-31,139.58,-6.682,-47.063
2011-06-30,198.22,-10.933,-80.685
2011-07-31,163.01,-13.018,-96.295
2011-08-31,274.32,-7.717,-55.317
2011-09-30,199.61,-5.326,-36.549
2011-10-31,201.45,-6.715,-45.57
2011-11-30,221.8,-2.63,-20.0
2011-12-31,225.01,-6.055,-44.779
2012-01-31,136.11,-5.534,-41.891
2012-02-29,345.99,-4.371,-27.384
2012-03-31,376.48,-6.516,-45.008
2012-04-30,222.14,-999.0,-999.0
2012-05-31,193.02,-7.617,-52.465
2012-06-30,161.56,-7.9,-54.34
2012-07-31,109.68,-4.584,-31.984
2012-08-31,94.07,-3.482,-27.197
2012-09-30,239.95,-5.597,-40.651
2012-10-31,100.19,-5.805,-44.08
2012-11-30,252.0,-5.198,-40.201
2012-12-31,58.48,-999.0,-999.0
2013-01-31,590.81,-7.585,-53.436
2013-02-28,263.23,-4.441,-34.24
2013-03-31,406.86,-999.0,-999.0
2013-04-30,205.17,-999.0,-999.0
2013-05-31,161.5,-999.0,-999.0
2013-06-30,214.69,-999.0,-999.0
2013-07-31,132.67,-999.0,-999.0
2013-08-31,131.43,-999.0,-999.0
2013-09-30,105.51,-999.0,-999.0
2013-10-31,143.09,-999.0,-999.0
2013-11-30,206.44,-999.0,-999.0
2013-12-31,297.83,-999.0,-999.0
2014-01-31,227.6,-5.118,-33.971
2014-02-28,124.76,-5.416,-34.779
2014-03-31,89.67,-4.501,-24.661
2014-04-30,345.18,-5.011,-31.642
2014-05-31,75.39,-999.0,-999.0
2014-06-30,231.34,-8.787,-63.608
2014-07-31,95.84,-3.391,-33.818
2014-08-31,138.29,-999.0,-999.0
2014-09-30,248.87,-8.788,-62.44
2014-10-31,115.95,-999.0,-999.0
2014-11-30,283.11,-999.0,-999.0
2014-12-31,304.74,-999.0,-999.0
2015-01-31,277.37,-999.0,-999.0
2015-02-28,203.45,-999.0,-999.0
2015-03-31,122.91,-999.0,-999.0
2015-04-30,111.6,-999.0,-999.0
2015-05-31,105.9,-999.0,-999.0
2015-06-30,117.11,-999.0,-999.0
2015-07-31,133.48,-999.0,-999.0
2015-08-31,93.26,-999.0,-999.0
2015-09-30,145.66,-999.0,-999.0
2015-10-31,70.33,-999.0,-999.0
2015-11-30,131.39,-999.0,-999.0
2015-12-31,129.59,-999.0,-999.0
2016-01-31,218.86,-999.0,-999.0
2016-02-29,123.59,-999.0,-999.0
2016-03-31,266.48,-999.0,-999.0
2016-04-30,102.57,-999.0,-999.0
2016-05-31,103.72,-999.0,-999.0
2016-06-30,162.36,-999.0,-999.0
2016-07-31,168.94,-999.0,-999.0
2016-08-31,92.11,-999.0,-999.0
2016-09-30,300.95,-999.0,-999.0
2016-10-31,147.97,-999.0,-999.0
2016-11-30,167.67,-999.0,-999.0
2016-12-31,332.27,-999.0,-999.0
2017-01-31,290.96,-999.0,-999.0
2017-02-28,244.45,-999.0,-999.0
2017-03-31,83.98,-999.0,-999.0
2017-04-30,270.23,-999.0,-999.0
2017-05-31,151.18,-999.0,-999.0
2017-06-30,187.67,-999.0,-999.0
2017-07-31,239.69,-5.016,-28.795
2017-08-31,149.67,-8.337,-53.385
2017-09-30,272.95,-7.374,-45.921
