date,precipitation,o18,h2
2010-09-30,134.75,-999.0,-999.0
2010-10-31,242.71,-999.0,-999.0
2010-11-30,255.18,-9.81,-66.4
2010-12-31,222.8,-8.46,-57.239
2011-01-31,153.43,-9.942,-69.288
2011-02-28,34.95,-1.704,-18.895
2011-03-31,223.99,-3.783,-30.017
2011-04-30,175.94,-5.946,-37.84
2011-05-31,158.96,-3.775,-20.325
2011-06-30,131.63,-4.46,-28.466
2011-07-31,116.3,-5.795,-38.3
2011-08-31,245.51,-3.824,-22.598
2011-09-30,208.31,-4.594,-34.8
2011-10-31,360.34,-6.565,-43.223
2011-11-30,216.81,-10.72,-74.3
2011-12-31,309.6,-5.889,-46.896
2012-01-31,114.67,-3.77,-26.928
2012-02-29,56.8,-3.283,-21.16
2012-03-31,227.38,-6.466,-48.453
2012-04-30,152.7,-5.229,-31.323
2012-05-31,358.91,-4.058,-28.452
2012-06-30,36.04,-0.648,-5.087
2012-07-31,159.05,-4.361,-30.042
2012-08-31,131.3,-4.0,-32.211
2012-09-30,274.11,-5.182,-34.567
2012-10-31,260.29,-5.392,-35.604
2012-11-30,214.77,-6.13,-49.833
2012-12-31,228.42,-3.706,-26.904
2013-01-31,165.79,-4.88,-44.619
2013-02-28,186.08,-8.322,-63.534
2013-03-31,68.73,1.522,3.862
2013-04-30,165.15,-999.0,-999.0
2013-05-31,110.75,-999.0,-999.0
2013-06-30,166.28,-999.0,-999.0
2013-07-31,194.03,-999.0,-999.0
2013-08-31,233.4,-999.0,-999.0
2013-09-30,213.73,-999.0,-999.0
2013-10-31,417.22,-999.0,-999.0
2013-11-30,208.56,-999.0,-999.0
2013-12-31,469.41,-999.0,-999.0
2014-01-31,50.59,-999.0,-999.0
2014-02-28,40.17,-4.135,-23.605
2014-03-31,27.86,-1.885,-4.766
2014-04-30,106.91,-3.819,-19.267
2014-05-31,198.53,-999.0,-999.0
2014-06-30,54.64,-999.0,-999.0
2014-07-31,82.26,-999.0,-999.0
2014-08-31,278.59,-999.0,-999.0
2014-09-30,238.6,-5.645,-34.465
2014-10-31,278.02,-999.0,-999.0
2014-11-30,160.57,-999.0,-999.0
2014-12-31,347.08,-999.0,-999.0
2015-01-31,56.03,-999.0,-999.0
2015-02-28,33.17,-999.0,-999.0
2015-03-31,14.41,-999.0,-999.0
2015-04-30,56.26,-999.0,-999.0
2015-05-31,175.54,-999.0,-999.0
2015-06-30,45.56,-999.0,-999.0
2015-07-31,101.98,-999.0,-999.0
2015-08-31,145.06,-999.0,-999.0
2015-09-30,194.63,-999.0,-999.0
2015-10-31,263.5,-999.0,-999.0
2015-11-30,256.22,-999.0,-999.0
2015-12-31,116.7,-999.0,-999.0
2016-01-31,67.43,-999.0,-999.0
2016-02-29,191.05,-2.617,-11.737
2016-03-31,11.9,-1.344,0.379
2016-04-30,9.76,-999.0,-999.0
2016-05-31,143.73,-999.0,-999.0
2016-06-30,119.7,-999.0,-999.0
2016-07-31,214.75,-999.0,-999.0
2016-08-31,193.89,-5.723,-35.26
2016-09-30,504.92,-6.093,-38.054
2016-10-31,407.0,-5.701,-35.547
2016-11-30,118.06,-7.528,-50.143
2016-12-31,139.58,-999.0,-999.0
2017-01-31,135.91,-999.0,-999.0
2017-02-28,74.6,-5.163,-31.595
2017-03-31,106.75,-5.068,-28.184
2017-04-30,80.48,-7.349,-46.236
2017-05-31,142.7,-999.0,-999.0
2017-06-30,116.22,-8.837,-58.341
2017-07-31,133.07,-6.988,-43.844
2017-08-31,243.75,-8.08,-56.206
2017-09-30,263.05,-6.973,-44.704
